13821,"9.9613612, 76.2885246","39 /4603, Sreekandath Road, Ravipuram",V.G.Saraf Memorial Hospital\n,Private,Hospital,Allopathic,"39 /4603, Sreekandath Road, Ravipuram",Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0484 2370595,vgsarafhospital@gmail.com,0,http://vgsarafhospital.com/,Urology\nOrthopedics\nGeneral Surgery\nGynaecology\nLaparoscopic Surgery\nPlastic Surgery\nENT\nOphthalmology\nPediatrics\nAnesthesiology\nDental and Maxillo-facial surgery\n
13843,"9.9687585, 76.3163513",38/685 A Sahodharan Ayyappan Road Kadavanthra Kochi,Chaithanya Ent Hospital,0,0,0,38/685 A Sahodharan Ayyappan Road Kadavanthra,Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0,0,0,0,0
13844,"9.9312328, 76.2673041","M.G Road,Cochin",City Hospital,0,0,0,"M.G Road,Cochin",Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0,0,0,0,0
13845,"9.9193393, 76.3130403",M G Road Kochi,Cochin Hospital,0,0,0,M G Road Kochi,Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0,0,0,0,0
13846,"9.9312328, 76.2673041",M G Road Kochi,Medical Trust Hospital,0,0,0,M G Road Kochi,Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0,0,0,0,0
13847,NA,"39/4603 (A), Sreekandath Road, Behind Air India Office, Ravipuram",V. G. Saraf Memorial Hospital Pvt. Ltd.,0,0,0,"39/4603 (A), Sreekandath Road, Behind Air India Office, Ravipuram",Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0484  2370595,0,0,0,0
13848,NA,"Opposite Bsnl Microwave Station, Deshabhimani Road,Kaloor,",Alpha Ent Head and Neck Research Insititute and Hospital,0,0,0,"Opposite Bsnl Microwave Station, Deshabhimani Road,Kaloor",Kerala,Ernakulam,0,682017,0,0,0,0,0,0,0,0,0,0,0,0,0
13849,NA,"Desabhimani Bus Stand, Opp, Tvs Kaloor",Focus Eye Hospital,0,0,0,"Desabhimani Bus Stand, Opp, Tvs Kaloor",Kerala,Ernakulam,0,682017,0,0,0,0,0,0,0,0,0,0,0,0,0
13850,NA,"Kaloor, Nr Railway Station",P V S Memorial Hospital Ltd,0,0,0,"Kaloor, Nr Railway Station",Kerala,Ernakulam,0,682017,0,0,0,0,0,0,0,0,0,0,0,0,0
13851,"9.9970903, 76.302815","Vattekkattu Road, Kaloor. Cochin",Paul`S Hospital,0,0,0,"Vattekkattu Road, Kaloor. Cochin",Kerala,Ernakulam,0,682017,0,0,0,0,0,0,0,0,0,0,0,0,0
13852,"9.9561103, 76.2443858","Pallipparambu Road, Kaloor, Kochi",Sree Sankara Ayurveda Hospital,0,0,0,"Pallipparambu Road, Kaloor, Kochi",Kerala,Ernakulam,0,682017,0,0,0,0,0,0,0,0,0,0,0,0,0
13853,"9.9816358, 76.2998842",Ernakulam Cochin,Dr. D Souza Ent Clinic and Nursing Home,0,0,0,Ernakulam Cochin,Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13854,"9.9816358, 76.2998842","Cochin-18, Kerala",Lisia Medical Institutions,0,0,0,Cochin-18,Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13855,"9.9899455, 76.2882759",P.B. No,Lisie Hospital,0,0,0,P.B. No,Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,2403877,0,0,0,0
13856,NA,Muthoot Corporate Office Opp Saritha Theatre Complex Banerji Road,Muthoot Medical Center Pvt Ltd,0,0,0,Muthoot Corporate Office Opp Saritha Theatre Complex Banerji Road,Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13857,"9.9858464, 76.2814796","Madhavapharmacy Jn., Kacherippady, Kochi",P.N.V.M. Hospital and Research Centre,0,0,0,"Madhavapharmacy Jn., Kacherippady, Kochi",Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13858,"10.004164, 76.3096866","Mbr Medical Trust ""Thamasa"" Civil Line Road, Palarivattom, Kochi",Specialists Hospital,0,0,0,"Mbr Medical Trust ""Thamasa"" Civil Line Road, Palarivattom",Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,"0484  2392945, 2390347",0,0,0,0
13859,"9.9988477, 76.2799097","Chittoor Oad,Ernakulam, Cochin",Sree Sudheendra Medical Mission,0,0,0,"Chittoor Oad,Ernakulam, Cochin",Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13860,"9.9901897, 76.2810132","St. Benedict Road, Ernakulam North, Cochin",Vijaya Hospital,0,0,0,"St. Benedict Road, Ernakulam North, Cochin",Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13861,"9.9874893, 76.2838322","Kacheripady, Chittoor Road, Near Vimalalayam",Westend Eye Hospitals,0,0,0,"Kacheripady, Chittoor Road, Near Vimalalayam",Kerala,Ernakulam,0,682018,0,0,0,0,0,0,0,0,0,0,0,0,0
13862,"9.958075, 76.3219491","N.H.47 Bypass, Thykoodam, Vyttila",Dr. Joys Hospital For Women And Children,0,0,0,"N.H.47 Bypass, Thykoodam, Vyttila",Kerala,Ernakulam,0,682019,0,0,0,0,0,0,0,0,0,0,0,0,0
13863,"9.9666543, 76.3168134","S.A Road,Vyttila,Cochin",Lakeshore Hospital City Centre,0,0,0,"S.A Road,Vyttila,Cochin",Kerala,Ernakulam,0,682019,0,0,0,0,0,0,0,0,0,0,0,0,0
13864,"9.9768291, 76.3099648","Ponnurunni,Vyttila,Kochi",Naivedya Ayurvedic Hospital and Research Centre,0,0,0,"Ponnurunni,Vyttila,Kochi",Kerala,Ernakulam,0,682019,0,0,0,0,0,0,0,0,0,0,0,0,0
13865,"9.963008, 76.3715772","Nr Power House,Tripunithura Road,Vyttila,Cochin",Ranjini Eye Care,0,0,0,"Nr Power House,Tripunithura Road,Vyttila,Cochin",Kerala,Ernakulam,0,682019,0,0,0,0,0,0,0,0,0,0,0,0,0
13866,"9.9681532, 76.3135216","Sahodaran Ayyappan Road, Vyttila",Welcare Hospital,0,0,0,"Sahodaran Ayyappan Road, Vyttila",Kerala,Ernakulam,0,682019,0,0,0,0,0,0,0,0,0,0,0,0,0
13867,NA,"Near Varkeys Market, Kaloor Kadavandara Road, Kadavandara",Akshaya Hospital,0,0,0,"Near Varkeys Market, Kaloor Kadavandara Road, Kadavandara",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13868,NA,"Opposite Reliance Fresh, K.P. Vallon Road, K.P. Vallon Road",Ayurvaid Hospital,0,0,0,"Opposite Reliance Fresh, K.P. Vallon Road, K.P. Vallon Road",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13869,"9.9640099, 76.3048506","28/3141 A, 28/2576 A, Ponneth Temple Road, Kadavanthra",Giridhar Eye Institute,0,0,0,"28/3141 A, 28/2576 A, Ponneth Temple Road, Kadavanthra",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13870,"9.9752364, 76.2956985","Gandhi Nagar, Kochi",Indira Gandhi Co-Operative Hospital,0,0,0,Gandhi Nagar,Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13871,"9.9816358, 76.2998842","Ernakulam,Kochi",Komaranchath Urology Centre,0,0,0,Ernakulam,Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13872,NA,"No. 533/33-A, 33F,Tejas Tower,S. A. Road,Kadavanthara",Lotus Eye Care Hospital Ltd,0,0,0,"No. 533/33-A, 33F,Tejas Tower,S. A. Road,Kadavanthara",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,4844070670,0,0,0,0
13873,"9.9312328, 76.2673041","353/307 A, Kp Vallon Road Kadavanthra Po. Kochi",Silverline Hospital,0,0,0,"353/307 A, Kp Vallon Road Kadavanthra Po.",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13874,"9.9894229, 76.5789749",Muvattupuzha,Vallakkalil Hospital,0,0,0,Muvattupuzha,Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13875,"9.9690388, 76.2992953","Kadamdhenu Apartments,Kadavanthra-Kaloor Road Kadavanthra,Kochi",Vijaya Institute Of Medical Sciences,0,0,0,"Kadamdhenu Apartments,Kadavanthra-Kaloor Road Kadavanthra",Kerala,Ernakulam,0,682020,0,0,0,0,0,0,0,0,0,0,0,0,0
13876,"10.0335491, 76.3355075","Judge Mukku, Thrikkakara, Kochi-682021",Aditya Eye Hospital,0,0,0,"Judge Mukku, Thrikkakara, Kochi-682021",Kerala,Ernakulam,0,682021,0,0,0,0,0,0,0,0,0,0,0,0,0
13877,"43.1938516, -71.5723953","Chakkaraparambu,Near Hotel, Holiday Inn Nh Byepass,Kochin",Vijayalakshmi Medical Centre,0,0,0,"Chakkaraparambu,Near Hotel, Holiday Inn Nh Byepass",Kerala,Ernakulam,0,682021,0,0,0,0,0,0,0,0,0,0,0,0,0
13878,"10.0044908, 76.31049","Civil Line Road, [Kakkanad Road], Padivattom, Kochi, Kerala",Alexander Eye Center (Unit Of Kelman Health First Hospital Network Pvt Ltd),0,0,0,"Civil Line Road, [Kakkanad Road], Padivattom, Kochi, Kerala",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,0,0,0,0,0
13879,"10.0380878, 76.2973528","Amrita Lane, Elamakkara P O Edappally, Kochi",Amrita Institute Of Medical Sciences And Research Centre,0,0,0,"Amrita Lane, Elamakkara P O Edappally, Kochi",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,2802020,0,0,0,0
13880,"10.0217485, 76.2989994","Edappally Bye-Pass Jn., Cochin",Cochin Spine Hospital,0,0,0,"Edappally Bye-Pass Jn., Cochin",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,0,0,0,0,0
13881,"10.0397131, 76.3195853","Pathadippalam, Edappaly P.O., Cochin",Dr. Promodus Institute Of Sexual and Marital Health,0,0,0,"Pathadippalam, Edappaly P.O., Cochin",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,0,0,0,0,0
13882,NA,"Near Edapally Post Office,Manimala Road,Edapally",Evershine Hospital,0,0,0,"Near Edapally Post Office,Manimala Road,Edapally",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,0,0,0,0,0
13883,"10.0217907, 76.3075913","Market Road,Edappally",Mar Augustin Jubilee Hospital,0,0,0,"Market Road,Edappally",Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,2343280,0,0,0,0
13884,"9.930897, 76.2684035",Eadappally North Po Cochin 24,Punarnava Ayurveda Hospital Ltd Kerla,0,0,0,Eadappally North Po Cochin 24,Kerala,Ernakulam,0,682024,0,0,0,0,0,0,0,0,0,0,0,0,0
13885,"9.9312328, 76.2673041","Kadavanthara, Kochi",Indira Gandhi Memorial Hospital,0,0,0,"Kadavanthara , Kochi",Kerala,Ernakulam,0,682025,0,0,0,0,0,0,0,0,0,0,0,0,0
13886,"9.9885532, 76.3093555","Thammanam P. O.,Kochi",Kumar International Centre,0,0,0,"Thammanam P. O.,Kochi",Kerala,Ernakulam,0,682025,0,0,0,0,0,0,0,0,0,0,0,0,0
13887,"9.9927245, 76.3079038","Thammanam Road, Palarivattam",Suburban Hospital,0,0,0,"Thammanam Road, Palarivattam",Kerala,Ernakulam,0,682025,0,0,0,0,0,0,0,0,0,0,0,0,0
13888,"9.9984802, 76.3119364","34-563, A-1, Opposite To India Visionnh Bypass Road Palarivattom, Palarivattom, Palarivattom, Kerala",Vasan Eye Care Hospital,0,0,0,"34-563, A-1, Opposite To India Visionnh Bypass Road Palarivattom, Palarivattom, Palarivattom",Kerala,Ernakulam,0,682025,0,0,0,0,0,0,0,0,0,0,0,0,0
13889,"10.0540229, 76.2537052",Kadamakkudy,Government Ayurveda Hospital,Public/ Government,0,0,Kadamakkudy,Kerala,Ernakulam,0,682027,0,0,0,0,0,0,0,0,0,0,0,0,0
13890,"43.1938516, -71.5723953","N.H. By Pass. Palarivattom, Diagonally Oppsite To Spices Board Office",Ernakulam Medical Centre,0,0,0,"N.H. By Pass. Palarivattom, Diagonally Oppsite To Spices Board Office",Kerala,Ernakulam,0,682028,0,0,0,0,0,0,0,0,"0484  2805011,2807412",0,0,0,0
13891,"9.9816358, 76.2998842",Kodungallur,Gouri Sankar Nursing Home,0,0,0,Kodungallur,Kerala,Ernakulam,0,682030,0,0,0,0,0,0,0,0,0,0,0,0,0
13892,"9.9312328, 76.2673041",Vii/528-B & Vii/528-C Kakkanad Sea Port- Airport Road Kochi,Sunrise Hospital,0,0,0,Vii/528-B & Vii/528-C Kakkanad Sea Port- Airport Road Kochi,Kerala,Ernakulam,0,682030,0,0,0,0,0,0,0,0,0,0,0,0,0
13893,NA,"70, Mavelipuram,Airport Seaport Road,Opposite Olimugal Moique",Susruta Eye Hospital,0,0,0,"#70, Mavelipuram,Airport Seaport Road,Opposite Olimugal Moique",Kerala,Ernakulam,0,682030,0,0,0,0,0,0,0,0,0,0,0,0,0
13894,"9.9312328, 76.2673041","Kakkanad P.O., Kochi",Thrikkakara Grama Panchayat Co-Operative Hospital,0,0,0,"Kakkanad P.O. , Kochi",Kerala,Ernakulam,0,682030,0,0,0,0,0,0,0,0,0,0,0,0,0
13895,"10.0101013, 76.3111946","Edappally, Kochi",Cimar Cochin,0,0,0,"Edappally , Kochi",Kerala,Ernakulam,0,682031,0,0,0,0,0,0,0,0,0,0,0,0,0
13896,"10.1136767, 76.3298622","Vysali Jn, Nh Bye Pass, Cochin",Noushad Ent Hospital and Research Centre,0,0,0,"Vysali Jn, Nh Bye Pass, Cochin",Kerala,Ernakulam,0,682032,0,0,0,0,0,0,0,0,0,0,0,0,0
13897,"10.0410788, 76.3195853",Changampuzha Nagar P O Pathadipalam Edapally Kochi,Kims Hospital And Surgical Center,0,0,0,Changampuzha Nagar P O Pathadipalam Edapally Kochi,Kerala,Ernakulam,0,682033,0,0,0,0,0,0,0,0,0,0,0,0,0
13898,"9.9786744, 76.2856402",Rajaji Road Kochi,Al Shifa Super Specialty Hospital,0,0,0,Rajaji Road Kochi,Kerala,Ernakulam,0,682035,0,0,0,0,0,0,0,0,0,0,0,0,0
13899,"10.5445582, 76.0727236",Mullassery Canal Road,Ojus Clinic And Nursing Home,0,0,0,Mullassery Canal Road,Kerala,Ernakulam,0,682035,0,0,0,0,0,0,0,0,0484  374940,0,0,0,0
13900,"10.0687019, 76.2131474","Vypin,Ernakulam,Kerala",Sarada Nursing Home,0,0,0,"Vypin,Ernakulam,Kerala",Kerala,Ernakulam,0,682035,0,0,0,0,0,0,0,0,0,0,0,0,0
13901,"43.1938516, -71.5723953","Nh 47, By Pass Road, Maradu, Nettoor",Lakeshore Hospital And Research Center Ltd,0,0,0,"Nh 47, By Pass Road, Maradu, Nettoor",Kerala,Ernakulam,0,682040,0,0,0,0,0,0,0,0,0,0,0,0,0
13902,"9.9470769, 76.3427067","Xx1/64,Near Nss College,North Fort Gate,Tripunithura",Devi Hospital Pvt Ltd,0,0,0,"Xx1/64,Near Nss College,North Fort Gate,Tripunithura",Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,0,0,0,0,0
13903,"9.9500198, 76.3524095","Hill Palace Road,Near Railway Over Bridge",R C M Eye Hospital,0,0,0,"Hill Palace Road,Near Railway Over Bridge",Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,0484  2779128,0,0,0,0
13904,"9.9556701, 76.350183","Main Road, Near Sn Junction, Tripunithura",Roshan Eye Care Hospital,0,0,0,"Main Road, Near Sn Junction, Tripunithura",Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,0,0,0,0,0
13905,"9.9892017, 76.4334968",Main Road Tripunithura,Sree Agasthya Medical Centre,0,0,0,Main Road Tripunithura,Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,0,0,0,0,0
13906,"9.9892017, 76.4334968","Main Road, Tripunithura",Verma Medical Clinic,0,0,0,"Main Road, Tripunithura",Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,2776605,0,0,0,0
13907,"9.9470769, 76.3427067",North Fort Gate Tripunithura Kochi,Vijaya Kumara Menon Hospital,0,0,0,North Fort Gate Tripunithura Kochi,Kerala,Ernakulam,0,682301,0,0,0,0,0,0,0,0,0,0,0,0,0
13908,"9.9368112, 76.3232042","Kundannur, Maradu",P.S. Mission Hospital,0,0,0,"Kundannur, Maradu",Kerala,Ernakulam,0,682304,0,0,0,0,0,0,0,0,0,0,0,0,0
13909,"9.9368112, 76.3232042",Maradu Cochin,Perpetual Succour Mission Hospital,0,0,0,Maradu Cochin,Kerala,Ernakulam,0,682304,0,0,0,0,0,0,0,0,0,0,0,0,0
13910,"9.9486828, 76.3463624","Tripunithura, Ernakulam, Kerala",Cochin Ariya Vaidya Sala,0,0,0,"Tripunithura, Ernakulam, Kerala",Kerala,Ernakulam,0,682306,0,0,0,0,0,0,0,0,0,0,0,0,0
13911,NA,South Mazhuvannoor (Po),Lakshmi Hospital Rural Health Centre,0,0,0,South Mazhuvannoor (Po),Kerala,Ernakulam,0,682311,0,0,0,0,0,0,0,0,2594347,0,0,0,0
13912,"9.9782707, 76.4738971","Kolenchery, Erankulam, Kerala",M.O.S.C. Medical College Hospital Kolenchery,0,0,0,"Kolenchery, Erankulam, Kerala",Kerala,Ernakulam,0,682311,0,0,0,0,0,0,0,0,2760409,0,0,0,0
13913,NA,Medical College Hospital Kolenchery,Malankara Orthodox,0,0,0,Medical College Hospital Kolenchery,Kerala,Ernakulam,0,682311,0,0,0,0,0,0,0,0,0,0,0,0,0
13914,"9.9352861, 76.3854328",Chottanikkara,Sir Dorabji Tata Trust Aided Hospital ( S D T T A ),0,0,0,Chottanikkara,Kerala,Ernakulam,0,682312,0,0,0,0,0,0,0,0,0,0,0,0,0
13915,NA,Arakkunnam P.O. Thottappady,A.P.Varkey Mission Hospital,0,0,0,Arakkunnam P.O. Thottappady,Kerala,Ernakulam,0,682313,0,0,0,0,0,0,0,0,0,0,0,0,0
13916,"9.8991861, 76.3729725",Mulamthuruthy.P.O.Perumpilly,Hail Mary Hospital,0,0,0,Mulamthuruthy.P.O.Perumpilly,Kerala,Ernakulam,0,682314,0,0,0,0,0,0,0,0,0,0,0,0,0
13917,"9.8983966, 76.383986","Mulanthuruthy, Kerala",Varsha Nursing Home,0,0,0,"Mulanthuruthy, Kerala",Kerala,Ernakulam,0,682314,0,0,0,0,0,0,0,0,0,0,0,0,0
13918,"10.1199994, 76.1986595","Kuzhuppilly, Ayyampilly P.O, Kerala",St.Vincent De-Paul Hospital,0,0,0,"Kuzhuppilly, Ayyampilly P.O, Kerala",Kerala,Ernakulam,0,682501,0,0,0,0,0,0,0,0,0,0,0,0,0
13919,NA,"Menachery Road, Near Appangad Bridge, Narakkal",Bama Spine and Pain Siddha Clinic,0,0,0,"Menachery Road, Near Appangad Bridge, Narakkal",Kerala,Ernakulam,0,682505,0,0,0,0,0,0,0,0,0,0,0,0,0
13920,"9.88891, 76.3854328",Perumpilly,Kristu Jayanti Hospital,0,0,0,Perumpilly,Kerala,Ernakulam,0,682505,0,0,0,0,0,0,0,0,0,0,0,0,0
13921,"9.9241696, 76.2560593",Mundamveli Road Mundamveli Cochin Mundamveli,Jishy Hospital,0,0,0,Mundamveli Road Mundamveli Cochin Mundamveli,Kerala,Ernakulam,0,682507,0,0,0,0,0,0,0,0,0,0,0,0,0
13922,"19.183688, 77.2950259","Santhosh Lane,Poorna Nagar",Anwar Memorial Hospital,0,0,0,"Santhosh Lane,Poorna Nagar",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13923,NA,"Bridge Road,Arogyalayam Junction",Arogyalayam Hospital,0,0,0,"Bridge Road,Arogyalayam Junction",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,4842625917,0,0,0,0
13924,NA,"Civil Station Road, Anakkatt Buildings, Aluva",Ayurvaid Hospital,0,0,0,"Civil Station Road, Anakkatt Buildings, Aluva",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13925,"10.08368, 76.3609132","Asokapuram, Aluva",Carmel Hospital,0,0,0,"Asokapuram, Aluva",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13926,"9.9926662, 76.2839822",Aluva,Dr. C. K. P Hospital,0,0,0,Aluva,Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13927,NA,"Opposite Government Higher Secondary School, High Road",Dr. Tony's Super Speciality Eye Institute and Lasik Centre,0,0,0,"Opposite Government Higher Secondary School, High Road",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,4842633372,0,0,0,0
13928,"47.4405069, -122.2960663",International Airport Junction,Gyno Speciality Hospital,0,0,0,International Airport Junction,Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13929,"10.1146721, 76.4726289","Bank Junction, Aluva",K M K Hospital,0,0,0,"Bank Junction, Aluva",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13930,"10.1056361, 76.3509169",Karothukuzhi Junction Aluva,Karothukuzhi Hospital Pvt Ltd,0,0,0,Karothukuzhi Junction Aluva,Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13931,NA,"Mezhukkattil Buildings,Subjail Road,Opp- Zeenath Theatre",Lakshmi Hospital,0,0,0,"Mezhukkattil Buildings,Subjail Road,Opp- Zeenath Theatre",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,2623721,0,0,0,0
13932,"10.1075702, 76.345662",Bridge Road Aluva,Najath Hospital,0,0,0,Bridge Road Aluva,Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13933,"10.08368, 76.3609132","Asokapuram,Alwaye",S.V. Pharmacy and Nursing Home,0,0,0,"Asokapuram,Alwaye",Kerala,Ernakulam,0,683101,0,0,0,0,0,0,0,0,0,0,0,0,0
13934,"10.0579063, 76.3463624",KalamasseryKochi,Co-Operative Medical College Hospital,0,0,0,KalamasseryKochi,Kerala,Ernakulam,0,683104,0,0,0,0,0,0,0,0,0,0,0,0,0
